id,question_processed,answer_processed,dataset
4043991,why lh is high in pcos?,"lh secretion women with pcos have an increase in both the lh pulse frequency and amplitude, resulting in increased 24-hour secretion. this increase in lh secretion is thought to occur as a result of increased frequency of hypothalamic gonadotropin-releasing hormone (gnrh) pulses.",gooaq
874088,do birth control pills affect your liver?,"estrogens and oral contraceptives are both associated with several liver related complications including intrahepatic cholestasis, sinusoidal dilatation, peliosis hepatis, hepatic adenomas, hepatocellular carcinoma, hepatic venous thrombosis and an increased risk of gallstones.",gooaq
9zia9o,Why can you see through 100% humidity air but you can't see through fog? ,"Fog is large water droplets suspended in air, which disperse light.  Humidity is water vapor,  which has very little impact on light.",eli5
-5846814753836406220,what is the overall effect of a negative feedback mechanism?,negative feedback generally promotes stability,naturalquestions
7170677616804611255,what was the main cause of the second world war?,britain and france declaring war on germany after it invaded poland in september 1939,naturalquestions
5730bb058ab72b1400f9c72b,how did the sumerians build their strong domes?,by constructing and linking several arches,squad2
4004314,why does my stomach hurt after gastric bypass?,"stomach pain is not uncommon if you've recently had bariatric surgery. in fact, stomach pain is often related to the way your body and stomach adjusts to weight-loss surgery following the procedure, and can occur as a result of eating too much food.",gooaq
585338,what causes an increase in cortisol?,"when your body is under chronic stress, your cortisol levels remain high.",msmarco
5732696fe17f3d140042295f,why did nuclear arms negotiations with russia fail prior to 1955?,refusal of the russians to permit any sort of inspections,squad2
3949424,why adjusting entries are needed?,"in this case, adjusting entries are needed to accurately keep track of what you earned during the accounting period. it is necessary to record all expenses accrued during an accounting period. there will be times when an expense is accrued but has not been paid out. in that situation adjusting entries are needed.",gooaq
-1451943131560118204,what type of pathogen causes ergot of rye?,fungus,naturalquestions
592885,what causes tides on earth for kids,"the moon’s gravitational pull, which is much stronger than the sun’s gravitational pull causes ocean levels (tides) to rise and fall twice each day.",msmarco
195pw7,"How come an ant can fall 20 times its body length and end up unharmed, but people can't? ","The square-cube law.

If you imagine a standard person — say six feet tall, 180 pounds — and scale that person down by a factor of two, how tall will that person be? Three feet, obviously, because he's half as big as he was.

But how much will he weigh? If you guessed 90 pounds, you'd be wrong. The answer isn't *half* of the guy's original body weight, but *one eighth* of it, or just twenty two and a half pounds.

And that's just for a factor of two. Scale that person down by a factor of 100, and you get a person who's three-quarters of an inch tall, but weighs only as much as a grain of sand.

When you sneeze and that little guy flies out of the palm of your hand and hits the floor — a drop of let's say four feet — he will hit the ground at about ten miles an hour … but since he only weighs as much as a grain of sand, the force on his body when he comes to a stop would be … meh, I'm too lazy to do the arithmetic in my head, but it'd be very small indeed.

Force is mass times acceleration, remember. When mass is small, force is small … and as *size* — linear size — goes down by a factor of two, mass (for constant density, which is a fair approximation) goes down by a factor of *eight.*

So ants don't hit the ground very hard, while people do, comparatively speaking.",eli5
